CATEGORY,STAT_CODE,STAT_LABEL,RANK,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,POSITION_GROUP,STAT_VALUE,SEASON
Pitching,W,Wins,7,647336,Michael Soroka,109,Arizona Diamondbacks,Pitcher,3.0,2026
Pitching,W,Wins,8,605488,Jeffrey Springs,133,Athletics,Pitcher,3.0,2026
Pitching,W,Wins,9,607067,Colin Rea,112,Chicago Cubs,Pitcher,2.0,2026
Pitching,W,Wins,10,663436,Davis Martin,145,Chicago White Sox,Pitcher,2.0,2026
Pitching,WHIP,WHIP,1,695243,Mason Miller,135,San Diego Padres,Pitcher,0.24,2026
Pitching,WHIP,WHIP,2,670329,Rico Garcia,110,Baltimore Orioles,Pitcher,0.33,2026
Pitching,WHIP,WHIP,3,676617,Riley O'Brien,138,St. Louis Cardinals,Pitcher,0.43,2026
Pitching,WHIP,WHIP,4,628452,Raisel Iglesias,144,Atlanta Braves,Pitcher,0.45,2026
Pitching,WHIP,WHIP,5,596001,Jakob Junis,140,Texas Rangers,Pitcher,0.5,2026
Pitching,WHIP,WHIP,6,666974,Yennier Cano,110,Baltimore Orioles,Pitcher,0.53,2026
Pitching,WHIP,WHIP,7,623149,Paul Sewald,109,Arizona Diamondbacks,Pitcher,0.55,2026
Pitching,WHIP,WHIP,8,656876,Drew Rasmussen,139,Tampa Bay Rays,Pitcher,0.56,2026
Pitching,WHIP,WHIP,9,622608,Antonio Senzatela,115,Colorado Rockies,Pitcher,0.57,2026
Pitching,WHIP,WHIP,10,656641,Jacob Latz,140,Texas Rangers,Pitcher,0.58,2026
