TEAM_ID,TEAM_NAME,SEASON,games_played,wins,losses,avg_pts,avg_ast,avg_reb,avg_fg_pct,avg_fg3_pct,avg_ft_pct
1610612749,Milwaukee Bucks,2018,82,60,22,118.1219512195122,26.048780487804876,49.73170731707317,47.68048780487805,35.32439024390244,77.18414634146342
1610612749,Milwaukee Bucks,2019,73,56,17,118.67123287671232,25.876712328767123,51.6986301369863,47.7013698630137,35.534246575342465,73.73013698630137
1610612749,Milwaukee Bucks,2020,72,46,26,120.125,25.47222222222222,48.125,48.801388888888894,38.581944444444446,76.07916666666667
1610612749,Milwaukee Bucks,2021,82,51,31,115.48780487804878,23.902439024390244,46.707317073170735,46.818292682926824,36.56341463414634,77.45
1610612749,Milwaukee Bucks,2022,82,58,24,116.9390243902439,25.79268292682927,48.63414634146341,47.40975609756097,36.791463414634144,74.45365853658537
1610612749,Milwaukee Bucks,2023,82,49,33,118.97560975609755,26.536585365853657,44.170731707317074,48.801219512195125,37.26829268292683,77.09756097560975
1610612749,Milwaukee Bucks,2024,82,48,34,115.51219512195122,25.48780487804878,43.36585365853659,48.8609756097561,38.77804878048781,74.62073170731708
1610612749,Milwaukee Bucks,2025,37,16,21,113.32432432432432,26.243243243243242,40.37837837837838,48.73513513513513,39.72702702702703,73.96486486486486
1610612750,Minnesota Timberwolves,2010,82,17,65,101.07317073170732,20.121951219512194,44.40243902439025,44.12073170731708,37.49146341463415,77.09634146341463
1610612750,Minnesota Timberwolves,2011,66,26,40,97.93939393939394,19.545454545454547,43.72727272727273,43.38030303030303,32.9,77.23636363636363
1610612750,Minnesota Timberwolves,2012,82,31,51,95.7439024390244,22.390243902439025,42.02439024390244,44.0890243902439,30.060975609756095,74.29878048780488
1610612750,Minnesota Timberwolves,2013,82,40,42,106.92682926829268,23.9390243902439,44.73170731707317,44.58658536585366,33.821951219512194,78.11341463414634
1610612750,Minnesota Timberwolves,2014,82,16,66,97.7560975609756,21.597560975609756,40.91463414634146,43.87073170731708,32.5219512195122,77.35853658536585
1610612750,Minnesota Timberwolves,2015,82,29,53,102.41463414634147,23.365853658536587,41.5609756097561,46.49268292682927,33.551219512195125,79.51341463414633
1610612750,Minnesota Timberwolves,2016,82,31,51,105.57317073170732,23.658536585365855,42.41463414634146,46.80731707317073,34.62317073170731,79.78414634146341
1610612750,Minnesota Timberwolves,2017,82,47,35,109.51219512195122,22.695121951219512,41.96341463414634,47.75121951219512,35.800000000000004,80.2329268292683
1610612750,Minnesota Timberwolves,2018,82,36,46,112.47560975609755,24.609756097560975,44.792682926829265,45.72073170731707,35.53292682926829,78.66219512195121
1610612750,Minnesota Timberwolves,2019,64,19,45,113.25,23.828125,44.8125,44.165625,33.650000000000006,74.8078125
1610612750,Minnesota Timberwolves,2020,72,23,49,112.125,25.63888888888889,43.513888888888886,44.86944444444444,34.95416666666667,76.16527777777777
1610612750,Minnesota Timberwolves,2021,82,46,36,115.9390243902439,25.682926829268293,44.15853658536585,45.81341463414634,35.93292682926829,77.62926829268292
1610612750,Minnesota Timberwolves,2022,82,42,40,115.78048780487805,26.158536585365855,41.890243902439025,49.203658536585365,36.35121951219512,75.49146341463414
1610612750,Minnesota Timberwolves,2023,82,56,26,112.97560975609755,26.634146341463413,43.6219512195122,48.65,38.701219512195124,77.4780487804878
1610612750,Minnesota Timberwolves,2024,82,49,33,114.29268292682927,26.121951219512194,44.31707317073171,46.99146341463415,37.70609756097561,78.96585365853657
1610612750,Minnesota Timberwolves,2025,38,25,13,119.92105263157895,26.763157894736842,44.76315789473684,48.265789473684215,37.0921052631579,76.30263157894737
1610612751,Brooklyn Nets,2010,82,24,58,94.17073170731707,21.01219512195122,40.84146341463415,44.16463414634147,34.47195121951219,76.30975609756098
1610612751,Brooklyn Nets,2011,66,22,44,93.0909090909091,19.863636363636363,40.333333333333336,42.58787878787879,33.513636363636365,78.17878787878789
1610612751,Brooklyn Nets,2012,82,49,33,96.8780487804878,20.341463414634145,42.76829268292683,45.00121951219513,35.63658536585366,73.21463414634147
1610612751,Brooklyn Nets,2013,82,44,38,98.52439024390245,20.902439024390244,38.146341463414636,45.96219512195122,36.16341463414634,75.44024390243902
1610612751,Brooklyn Nets,2014,82,38,44,98.02439024390245,20.926829268292682,42.353658536585364,45.226829268292676,32.71951219512195,74.81219512195122
1610612751,Brooklyn Nets,2015,82,21,61,98.64634146341463,22.304878048780488,42.40243902439025,45.398780487804885,34.84390243902439,75.21341463414633
1610612751,Brooklyn Nets,2016,82,20,62,105.76829268292683,21.414634146341463,43.90243902439025,44.541463414634144,33.72073170731708,78.7280487804878
1610612751,Brooklyn Nets,2017,82,28,54,106.59756097560975,23.670731707317074,44.4390243902439,44.21463414634147,35.5890243902439,77.91463414634147
1610612751,Brooklyn Nets,2018,82,42,40,112.2439024390244,23.829268292682926,46.573170731707314,44.96219512195122,35.27804878048781,74.6719512195122
1610612751,Brooklyn Nets,2019,72,35,37,111.77777777777777,24.458333333333332,47.90277777777778,44.84444444444444,34.50972222222222,74.64999999999999
1610612751,Brooklyn Nets,2020,72,48,24,118.56944444444444,26.791666666666668,44.43055555555556,49.53888888888889,38.90277777777778,80.35833333333333
1610612751,Brooklyn Nets,2021,82,44,38,112.90243902439025,25.25609756097561,44.390243902439025,47.671951219512195,35.96463414634146,80.39999999999999
1610612751,Brooklyn Nets,2022,82,45,37,113.35365853658537,25.524390243902438,40.51219512195122,48.84878048780487,38.01341463414634,80.1109756097561
1610612751,Brooklyn Nets,2023,82,32,50,110.36585365853658,25.634146341463413,44.0609756097561,45.71097560975609,36.18170731707317,76.19390243902438
1610612751,Brooklyn Nets,2024,82,26,56,105.10975609756098,25.158536585365855,41.30487804878049,43.82195121951219,34.235365853658536,78.51585365853659
1610612751,Brooklyn Nets,2025,34,11,23,109.26470588235294,25.38235294117647,39.94117647058823,44.90588235294118,34.491176470588236,78.66470588235293
1610612752,New York Knicks,2010,82,42,40,106.51219512195122,21.426829268292682,40.451219512195124,45.856097560975606,36.552439024390246,80.84146341463415
1610612752,New York Knicks,2011,66,36,30,97.84848484848484,20.12121212121212,41.74242424242424,44.334848484848486,32.85151515151515,74.02121212121212
1610612752,New York Knicks,2012,82,54,28,99.95121951219512,19.25609756097561,40.5609756097561,44.928048780487806,37.32073170731707,75.65121951219513
1610612752,New York Knicks,2013,82,37,45,98.58536585365853,20.01219512195122,40.329268292682926,45.0609756097561,36.89390243902439,75.99268292682927
1610612752,New York Knicks,2014,82,17,65,91.89024390243902,21.29268292682927,40.36585365853659,42.98170731707317,35.326829268292684,76.71341463414633
