TEAM_ABBREVIATION,PLAYER_ID,PLAYER_NAME,STAT,VALUE,SEASON,PLAYER_IMAGE_URL
UTA,1628374,Lauri Markkanen,PTS,27.8,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1628374.png
UTA,1641718,Keyonte George,AST,6.9,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1641718.png
UTA,1631117,Walker Kessler,REB,10.8,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1631117.png
PHI,1630178,Tyrese Maxey,PTS,30.7,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630178.png
PHI,1630178,Tyrese Maxey,AST,7.1,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630178.png
PHI,203083,Andre Drummond,REB,9.0,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/203083.png
LAL,1629029,Luka Doncic,PTS,33.7,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1629029.png
LAL,1629029,Luka Doncic,AST,8.8,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1629029.png
LAL,1629028,Deandre Ayton,REB,8.5,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1629028.png
GSW,201939,Stephen Curry,PTS,28.8,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png
GSW,203110,Draymond Green,AST,5.4,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/203110.png
GSW,1630228,Jonathan Kuminga,REB,6.2,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630228.png
BOS,1627759,Jaylen Brown,PTS,29.7,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1627759.png
BOS,1628401,Derrick White,AST,5.3,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1628401.png
BOS,1629674,Neemias Queta,REB,8.2,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1629674.png
MIA,1626181,Norman Powell,PTS,24.3,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1626181.png
MIA,1630558,Davion Mitchell,AST,7.5,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630558.png
MIA,1642276,Kel'el Ware,REB,10.6,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1642276.png
ORL,1630532,Franz Wagner,PTS,22.7,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630532.png
ORL,1630591,Jalen Suggs,AST,4.7,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630591.png
ORL,1631094,Paolo Banchero,REB,8.6,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1631094.png
